width,height,out_width,out_height,engine,mode,round,frame,input,upload_ms,record_ms,submit_ms,wait_ms,query_ms,retire_ms,read_ms,total_ms,device_ms
1280,720,2560,1440,ogpu,end-to-end,0,30,0,0.144348,0.00274,0.114469,3.580496,0.02605,0.00028,0.706713,4.575096,3.49752
1280,720,2560,1440,ogpu,end-to-end,0,31,1,0.142398,0.00236,0.095399,3.603725,0.02505,0.00028,0.722983,4.592195,3.50076
1280,720,2560,1440,ogpu,end-to-end,0,32,0,0.142019,0.00264,0.114519,3.595195,0.028409,0.00612,0.761303,4.650205,3.50304
1280,720,2560,1440,ogpu,end-to-end,0,33,1,0.153539,0.00302,0.109229,3.583725,0.02988,0.00031,0.712073,4.591776,3.49756
1280,720,2560,1440,ogpu,end-to-end,0,34,0,0.138728,0.00245,0.100499,3.580876,0.02647,0.00029,0.708783,4.558096,3.49576
1280,720,2560,1440,ogpu,end-to-end,0,35,1,0.141738,0.00272,0.116459,3.572906,0.02224,0.00023,0.676153,4.532446,3.49652
1280,720,2560,1440,ogpu,end-to-end,0,36,0,0.132239,0.0022,0.099229,3.597435,0.02112,0.00031,0.764152,4.616685,3.50044
1280,720,2560,1440,ogpu,end-to-end,0,37,1,0.177319,0.00477,0.144688,3.576686,0.018,0.00032,0.692683,4.614466,3.49628
1280,720,2560,1440,ogpu,end-to-end,0,38,0,0.145058,0.00248,0.104459,3.577146,0.01693,0.00026,0.649543,4.495876,3.50052
1280,720,2560,1440,ogpu,end-to-end,0,39,1,0.132319,0.00245,0.100839,3.584146,0.019019,0.00028,0.692664,4.531717,3.49824
1280,720,2560,1440,native,end-to-end,0,10,0,0.131089,0.096429,0.02154,3.583936,0.023249,4e-05,0.719143,4.575426,3.49864
1280,720,2560,1440,native,end-to-end,0,11,1,0.143679,0.093659,0.02845,3.578455,0.0265,4e-05,0.733533,4.604316,3.49748
1280,720,2560,1440,native,end-to-end,0,12,0,0.121858,0.07682,0.023879,3.579966,0.02641,4e-05,0.702323,4.531296,3.5004
1280,720,2560,1440,native,end-to-end,0,13,1,0.141119,0.088769,0.0257,3.591365,0.02649,5e-05,0.686553,4.560046,3.49896
1280,720,2560,1440,native,end-to-end,0,14,0,0.120579,0.077109,0.02237,3.582925,0.02574,4e-05,0.714843,4.543606,3.50348
1280,720,2560,1440,native,end-to-end,0,15,1,0.140509,0.088539,0.02524,3.583145,0.02666,4e-05,0.750232,4.614365,3.4982
1280,720,2560,1440,native,end-to-end,0,16,0,0.143779,0.077469,0.02241,3.600055,0.02572,5e-05,0.808772,4.678255,3.49796
1280,720,2560,1440,native,end-to-end,0,17,1,0.175909,0.108969,0.023449,3.647215,0.02739,4e-05,0.792422,4.775394,3.50424
1280,720,2560,1440,native,end-to-end,0,18,0,0.142469,0.085719,0.02348,3.578255,0.02275,3e-05,0.726703,4.579406,3.49668
1280,720,2560,1440,native,end-to-end,0,19,1,0.167268,0.110569,0.03501,3.586405,0.02656,5e-05,0.749333,4.675195,3.50228
1280,720,2560,1440,native,end-to-end,0,20,0,0.132838,0.07572,0.020779,3.597796,0.025449,4e-05,0.734613,4.587235,3.50584
1280,720,2560,1440,native,end-to-end,0,21,1,0.145019,0.085929,0.02613,3.584255,0.0259,5e-05,0.699873,4.567156,3.49596
1280,720,2560,1440,native,end-to-end,0,22,0,0.124689,0.073389,0.01973,3.594935,0.02678,4e-05,0.777792,4.617355,3.49796
